State,Measurement Type,Year,Value,net_increase
Australian Capital Territory,Change Over Previous Quarter,2018,10532,Increase
New South Wales,Change Over Previous Quarter,2018,102618,Increase
Northern Territory,Change Over Previous Quarter,2018,-942,Decrease
Queensland,Change Over Previous Quarter,2018,85469,Increase
South Australia,Change Over Previous Quarter,2018,20061,Increase
Tasmania,Change Over Previous Quarter,2018,11366,Increase
Victoria,Change Over Previous Quarter,2018,121485,Increase
Western Australia,Change Over Previous Quarter,2018,36476,Increase
Australian Capital Territory,Natural Increase,2018,3166,Increase
New South Wales,Natural Increase,2018,45861,Increase
Northern Territory,Natural Increase,2018,2598,Increase
Queensland,Natural Increase,2018,30046,Increase
South Australia,Natural Increase,2018,5360,Increase
Tasmania,Natural Increase,2018,1121,Increase
Victoria,Natural Increase,2018,38774,Increase
Western Australia,Natural Increase,2018,18784,Increase
Australian Capital Territory,Net Interstate Migration,2018,2240,Increase
New South Wales,Net Interstate Migration,2018,-23411,Decrease
Northern Territory,Net Interstate Migration,2018,-3109,Decrease
Queensland,Net Interstate Migration,2018,23424,Increase
South Australia,Net Interstate Migration,2018,-3687,Decrease
Tasmania,Net Interstate Migration,2018,3044,Increase
Victoria,Net Interstate Migration,2018,7998,Increase
Western Australia,Net Interstate Migration,2018,-6499,Decrease
Australian Capital Territory,Net Overseas Migration,2018,3816,Increase
New South Wales,Net Overseas Migration,2018,92886,Increase
Northern Territory,Net Overseas Migration,2018,556,Increase
Queensland,Net Overseas Migration,2018,33737,Increase
South Australia,Net Overseas Migration,2018,13964,Increase
Tasmania,Net Overseas Migration,2018,3165,Increase
Victoria,Net Overseas Migration,2018,89537,Increase
Western Australia,Net Overseas Migration,2018,14550,Increase
Australian Capital Territory,Change Over Previous Quarter,2019,9509,Increase
New South Wales,Change Over Previous Quarter,2019,84797,Increase
Northern Territory,Change Over Previous Quarter,2019,293,Increase
Queensland,Change Over Previous Quarter,2019,83307,Increase
South Australia,Change Over Previous Quarter,2019,23213,Increase
Tasmania,Change Over Previous Quarter,2019,10413,Increase
Victoria,Change Over Previous Quarter,2019,110355,Increase
Western Australia,Change Over Previous Quarter,2019,52395,Increase
Australian Capital Territory,Natural Increase,2019,3456,Increase
New South Wales,Natural Increase,2019,43820,Increase
Northern Territory,Natural Increase,2019,2462,Increase
Queensland,Natural Increase,2019,28964,Increase
South Australia,Natural Increase,2019,4996,Increase
Tasmania,Natural Increase,2019,1013,Increase
Victoria,Natural Increase,2019,35942,Increase
Western Australia,Natural Increase,2019,18357,Increase
